Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-04,MAIB,CHF,"20,05","20,60"
2023-12-04,MICB,CHF,"19,60","20,60"
2023-12-04,VICTORIABANK,CHF,"19,90","20,75"
2023-12-04,MAIB,EUR,"19,20","19,52"
2023-12-04,MICB,EUR,"19,10","19,50"
2023-12-04,VICTORIABANK,EUR,"19,05","19,49"
2023-12-04,MAIB,GBP,"22,20","22,73"
2023-12-04,MICB,GBP,"20,70","22,70"
2023-12-04,VICTORIABANK,GBP,"21,85","22,85"
2023-12-04,MAIB,RON,"3,80","3,95"
2023-12-04,MICB,RON,"3,78","3,98"
2023-12-04,VICTORIABANK,RON,"3,75","3,95"
2023-12-04,MAIB,UAH,"0,45","0,51"
2023-12-04,MAIB,USD,"17,63","17,93"
2023-12-04,MICB,USD,"17,55","17,91"
2023-12-04,VICTORIABANK,USD,"17,57","17,95"
2023-12-05,MAIB,CHF,"20,00","20,52"
2023-12-05,MICB,CHF,"19,50","20,50"
2023-12-05,VICTORIABANK,CHF,"19,90","20,70"
2023-12-05,MAIB,EUR,"19,10","19,42"
2023-12-05,MICB,EUR,"19,01","19,41"
2023-12-05,VICTORIABANK,EUR,"19,00","19,47"
2023-12-05,MAIB,GBP,"22,05","22,60"
2023-12-05,MICB,GBP,"20,60","22,60"
2023-12-05,VICTORIABANK,GBP,"21,85","22,77"
2023-12-05,MAIB,RON,"3,78","3,93"
2023-12-05,MICB,RON,"3,78","3,96"
2023-12-05,VICTORIABANK,RON,"3,75","3,95"
2023-12-05,MAIB,UAH,"0,45","0,51"
2023-12-05,MAIB,USD,"17,59","17,89"
2023-12-05,MICB,USD,"17,53","17,87"
2023-12-05,VICTORIABANK,USD,"17,57","17,95"
2023-12-06,MAIB,CHF,"19,93","20,43"
2023-12-06,MICB,CHF,"19,50","20,50"
2023-12-06,VICTORIABANK,CHF,"19,85","20,56"
2023-12-06,MAIB,EUR,"18,98","19,30"
2023-12-06,MICB,EUR,"18,91","19,29"
2023-12-06,VICTORIABANK,EUR,"18,90","19,35"
2023-12-06,MAIB,GBP,"22,00","22,52"
2023-12-06,MICB,GBP,"20,60","22,60"
2023-12-06,VICTORIABANK,GBP,"21,80","22,67"
2023-12-06,MAIB,RON,"3,77","3,92"
2023-12-06,MICB,RON,"3,77","3,95"
2023-12-06,VICTORIABANK,RON,"3,74","3,93"
2023-12-06,MAIB,UAH,"0,44","0,50"
2023-12-06,MAIB,USD,"17,57","17,87"
2023-12-06,MICB,USD,"17,50","17,86"
2023-12-06,VICTORIABANK,USD,"17,50","17,89"
2023-12-07,MAIB,CHF,"19,90","20,40"
2023-12-07,MICB,CHF,"19,40","20,40"
2023-12-07,VICTORIABANK,CHF,"20,05","20,57"
2023-12-07,MAIB,EUR,"18,98","19,30"
2023-12-07,MICB,EUR,"18,91","19,29"
2023-12-07,VICTORIABANK,EUR,"19,05","19,32"
2023-12-07,MAIB,GBP,"21,90","22,40"
2023-12-07,MICB,GBP,"20,50","22,50"
2023-12-07,VICTORIABANK,GBP,"22,05","22,60"
2023-12-07,MAIB,RON,"3,77","3,92"
2023-12-07,MICB,RON,"3,75","3,93"
2023-12-07,VICTORIABANK,RON,"3,77","3,93"
2023-12-07,MAIB,UAH,"0,44","0,50"
2023-12-07,MAIB,USD,"17,57","17,87"
2023-12-07,MICB,USD,"17,50","17,86"
2023-12-07,VICTORIABANK,USD,"17,50","17,89"
2023-12-08,MAIB,CHF,"19,95","20,45"
2023-12-08,MICB,CHF,"19,40","20,40"
2023-12-08,VICTORIABANK,CHF,"20,05","20,65"
2023-12-08,MAIB,EUR,"19,07","19,39"
2023-12-08,MICB,EUR,"19,03","19,38"
2023-12-08,VICTORIABANK,EUR,"19,14","19,41"
2023-12-08,MAIB,GBP,"22,05","22,53"
2023-12-08,MICB,GBP,"20,50","22,50"
2023-12-08,VICTORIABANK,GBP,"22,10","22,68"
2023-12-08,MAIB,RON,"3,77","3,92"
2023-12-08,MICB,RON,"3,76","3,94"
2023-12-08,VICTORIABANK,RON,"3,81","3,93"
2023-12-08,MAIB,UAH,"0,44","0,50"
2023-12-08,MAIB,USD,"17,60","17,90"
2023-12-08,MICB,USD,"17,56","17,89"
2023-12-08,VICTORIABANK,USD,"17,58","17,92"
2023-12-09,VICTORIABANK,CHF,"20,05","20,77"
2023-12-09,VICTORIABANK,EUR,"19,10","19,49"
2023-12-09,VICTORIABANK,GBP,"22,10","22,80"
2023-12-09,VICTORIABANK,RON,"3,80","3,95"
2023-12-09,VICTORIABANK,USD,"17,65","18,05"
2023-12-10,VICTORIABANK,CHF,"20,05","20,77"
2023-12-10,VICTORIABANK,EUR,"19,10","19,49"
2023-12-10,VICTORIABANK,GBP,"22,10","22,80"
2023-12-10,VICTORIABANK,RON,"3,80","3,95"
2023-12-10,VICTORIABANK,USD,"17,65","18,05"
